,Title,Release Year,Genre,IMDb Page Link
915,J. Edgar,(2011),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt1616195/
916,Adam-12,(1968–1975),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt0062539/
917,Harley Quinn,(2019– ),"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt7658402/
918,Suburra: Blood on Rome,(2017–2019),"
Action, Crime            ",http://www.imdb.com/title/tt7197684/
919,"Roman J. Israel, Esq.",(2017),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt6000478/
920,Black Sun,(2017– ),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt6108262/
921,On the Waterfront,(1954),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0047296/
922,The Bay,(2019– ),"
Crime, Drama            ",http://www.imdb.com/title/tt8425404/
923,The Ladykillers,(2004),"
Comedy, Crime, Thriller            ",http://www.imdb.com/title/tt0335245/
924,Crank: High Voltage,(2009),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt1121931/
925,21 Grams,(2003),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0315733/
926,Judge Dredd,(1995),"
Action, Crime, Sci-Fi            ",http://www.imdb.com/title/tt0113492/
927,Get Hard,(2015),"
Comedy, Crime            ",http://www.imdb.com/title/tt2561572/
928,Wild Wild Country,(2018– ),"
Documentary, Crime            ",http://www.imdb.com/title/tt7768848/
929,Blue Ruin,(2013),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt2359024/
930,Hawaii Five-O,(1968–1980),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0062568/
931,Double Jeopardy,(1999),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0150377/
932,Green Street Hooligans,(2005),"
Crime, Drama, Sport            ",http://www.imdb.com/title/tt0385002/
933,Mr. Brooks,(2007),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0780571/
934,Eve,(III),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt8784956/
935,Strange Days,(1995),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0114558/
936,Glengarry Glen Ross,(1992),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0104348/
937,The Thin Man,(1934),"
Comedy, Crime, Mystery            ",http://www.imdb.com/title/tt0025878/
938,Breakdown,(I) (1997),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0118771/
939,Miami Vice,(2006),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt0430357/
940,RoboCop 2,(1990),"
Action, Crime, Sci-Fi            ",http://www.imdb.com/title/tt0100502/
941,Damsel,(I) (2018),"
Adventure, Comedy, Crime            ",http://www.imdb.com/title/tt5881528/
942,The Thomas Crown Affair,(1999),"
Crime, Romance, Thriller            ",http://www.imdb.com/title/tt0155267/
943,Le tueur du lac,(2017),"
Crime, Thriller            ",http://www.imdb.com/title/tt6284774/
944,Dogs of Berlin,(2018– ),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt6839788/
